sector,estrato,cargo_fijo,cargo_por_consumo_menor,cargo_por_consumo_mayor,year,mes
Residencial,2,0.00,1549.97,2349.35,2023,Septiembre
Residencial,3,3853.50,2349.35,2349.35,2023,Septiembre
Residencial,4,3853.50,2349.35,2349.35,2023,Septiembre
Residencial,5,4624.20,2819.22,2819.22,2023,Septiembre
Residencial,6,4624.20,2819.22,2819.22,2023,Septiembre
No Residencial,"Rango 1 Cogenración, Autogeneración, oficiales y exentos",3853.50,2010.30,2010.30,2023,Septiembre
No Residencial,"Rango 1 industrial, comercial y otros",4196.46,2189.22,2189.22,2023,Septiembre
Residencial,1,0.00,1255.00,2384.49,2023,Octubre
Residencial,2,0.00,1560.87,2384.49,2023,Octubre
Residencial,3,3875.66,2384.49,2384.49,2023,Octubre
Residencial,4,3875.66,2384.49,2384.49,2023,Octubre
Residencial,5,4650.79,2861.39,2861.39,2023,Octubre
Residencial,6,4650.79,2861.39,2861.39,2023,Octubre
No Residencial,"Rango 1 Cogenración, Autogeneración, oficiales y exentos",3875.66,2040.69,2040.69,2023,Octubre
No Residencial,"Rango 1 industrial, comercial y otros",4220.59,2222.31,2222.31,2023,Octubre
Residencial,1,0.00,1261.56,2384.49,2023,Noviembre
Residencial,2,0.00,1569.14,2384.49,2023,Noviembre
Residencial,3,3875.66,2384.49,2384.49,2023,Noviembre
Residencial,4,3875.66,2384.49,2384.49,2023,Noviembre
Residencial,5,4650.79,2861.39,2861.39,2023,Noviembre
Residencial,6,4650.79,2861.39,2861.39,2023,Noviembre
No Residencial,"Rango 1 Cogenración, Autogeneración, oficiales y exentos",3875.66,2040.69,2040.69,2023,Noviembre
No Residencial,"Rango 1 industrial, comercial y otros",4220.59,2222.31,2222.31,2023,Noviembre
Residencial,1,0.00,1264.81,2384.49,2023,Diciembre
Residencial,2,0.00,1572.98,2384.49,2023,Diciembre
Residencial,3,3875.66,2384.49,2384.49,2023,Diciembre
Residencial,4,3875.66,2384.49,2384.49,2023,Diciembre
Residencial,5,4650.79,2861.39,2861.39,2023,Diciembre
Residencial,6,4650.79,2861.39,2861.39,2023,Diciembre
No Residencial,"Rango 1 Cogenración, Autogeneración, oficiales y exentos",3875.66,2040.69,2040.69,2023,Diciembre
No Residencial,"Rango 1 industrial, comercial y otros",4220.59,2222.31,2222.31,2023,Diciembre
Residencial,1,0.00,1270.61,2281.06,2024,Enero
Residencial,2,0.00,1580.30,2281.06,2024,Enero
Residencial,3,3909.71,2281.06,2281.06,2024,Enero
Residencial,4,3909.71,2281.06,2281.06,2024,Enero
Residencial,5,4691.65,2737.27,2737.27,2024,Enero
Residencial,6,4691.65,2737.27,2737.27,2024,Enero
No Residencial,"Rango 1 Cogenración, Autogeneración, oficiales y exentos",3909.71,1930.48,1930.48,2024,Enero
No Residencial,"Rango 1 industrial, comercial y otros",4257.67,2102.29,2102.29,2024,Enero
Residencial,1,0.00,1276.56,2438.92,2024,Febrero
Residencial,2,0.00,1587.59,2438.92,2024,Febrero
Residencial,3,3922.72,2438.92,2438.92,2024,Febrero
Residencial,4,3922.72,2438.92,2438.92,2024,Febrero
Residencial,5,4707.26,2926.70,2926.70,2024,Febrero
Residencial,6,4707.26,2926.70,2926.70,2024,Febrero
No Residencial,"Rango 1 Cogenración, Autogeneración, oficiales y exentos",3922.72,2089.51,2089.51,2024,Febrero
No Residencial,"Rango 1 industrial, comercial y otros",4271.84,2275.48,2275.48,2024,Febrero
Residencial,1,0.00,1288.34,2483.27,2024,Marzo
Residencial,2,0.00,1602.17,2483.27,2024,Marzo
Residencial,3,3953.75,2483.27,2483.27,2024,Marzo
Residencial,4,3953.75,2483.27,2483.27,2024,Marzo
Residencial,5,4744.50,2979.92,2979.92,2024,Marzo
Residencial,6,4744.50,2979.92,2979.92,2024,Marzo
No Residencial,"Rango 1 Cogenración, Autogeneración, oficiales y exentos",3953.75,2139.91,2139.91,2024,Marzo
No Residencial,"Rango 1 industrial, comercial y otros",4305.63,2330.36,2330.36,2024,Marzo
Residencial,1,0.00,1302.21,2477.79,2024,Abril
Residencial,2,0.00,1619.48,2477.79,2024,Abril
Residencial,3,3991.64,2477.79,2477.79,2024,Abril
Residencial,4,3991.64,2477.79,2477.79,2024,Abril
Residencial,5,4789.97,2973.35,2973.35,2024,Abril
Residencial,6,4789.97,2973.35,2973.35,2024,Abril
No Residencial,"Rango 1 Cogenración, Autogeneración, oficiales y exentos",3991.64,2118.39,2118.39,2024,Abril
No Residencial,"Rango 1 industrial, comercial y otros",4346.90,2306.93,2306.93,2024,Abril
Residencial,1,0.00,1311.29,2526.66,2024,Mayo
Residencial,2,0.00,1631.03,2526.66,2024,Mayo
Residencial,3,4014.78,2526.66,2526.66,2024,Mayo
Residencial,4,4014.78,2526.66,2526.66,2024,Mayo
Residencial,5,4817.74,3031.99,3031.99,2024,Mayo
Residencial,6,4817.74,3031.99,3031.99,2024,Mayo
No Residencial,"Rango 1 Cogenración, Autogeneración, oficiales y exentos",4014.78,2166.77,2166.77,2024,Mayo
No Residencial,"Rango 1 industrial, comercial y otros",4372.10,2359.61,2359.61,2024,Mayo
Residencial,1,0.00,1319.18,2467.32,2024,Junio
Residencial,2,0.00,1640.64,2467.32,2024,Junio
Residencial,3,4033.49,2467.32,2467.32,2024,Junio
Residencial,4,4033.49,2467.32,2467.32,2024,Junio
Residencial,5,4840.19,2960.78,2960.78,2024,Junio
Residencial,6,4840.19,2960.78,2960.78,2024,Junio
No Residencial,"Rango 1 Cogenración, Autogeneración, oficiales y exentos",4033.49,2109.26,2109.26,2024,Junio
No Residencial,"Rango 1 industrial, comercial y otros",4392.47,2296.98,2296.98,2024,Junio
Residencial,1,0.00,1324.63,2467.32,2024,Julio
Residencial,2,0.00,1647.49,2467.32,2024,Julio
Residencial,3,4033.49,2467.32,2467.32,2024,Julio
Residencial,4,4033.49,2467.32,2467.32,2024,Julio
Residencial,5,4840.19,2960.78,2960.78,2024,Julio
Residencial,6,4840.19,2960.78,2960.78,2024,Julio
No Residencial,"Rango 1 Cogenración, Autogeneración, oficiales y exentos",4033.49,2109.26,2109.26,2024,Julio
No Residencial,"Rango 1 industrial, comercial y otros",4392.47,2296.98,2296.98,2024,Julio
Residencial,1,0.00,1328.84,2522.95,2024,Agosto
Residencial,2,0.00,1652.72,2522.95,2024,Agosto
Residencial,3,4053.41,2522.95,2522.95,2024,Agosto
Residencial,4,4053.41,2522.95,2522.95,2024,Agosto
Residencial,5,4864.09,3027.54,3027.54,2024,Agosto
Residencial,6,4864.09,3027.54,3027.54,2024,Agosto
No Residencial,"Rango 1 Cogenración, Autogeneración, oficiales y exentos",4053.41,2158.91,2158.91,2024,Agosto
No Residencial,"Rango 1 industrial, comercial y otros",4414.16,2351.05,2351.05,2024,Agosto
Residencial,1,0.00,1331.43,2412.37,2024,Septiembre
Residencial,2,0.00,1655.95,2412.37,2024,Septiembre
Residencial,3,4056.62,2412.37,2412.37,2024,Septiembre
Residencial,4,4056.62,2412.37,2412.37,2024,Septiembre
Residencial,5,4867.94,2894.84,2894.84,2024,Septiembre
Residencial,6,4867.94,2894.84,2894.84,2024,Septiembre
No Residencial,"Rango 1 Cogenración, Autogeneración, oficiales y exentos",4056.62,2047.70,2047.70,2024,Septiembre
No Residencial,"Rango 1 industrial, comercial y otros",4417.66,2229.95,2229.95,2024,Septiembre
Residencial,1,0.00,1331.50,2399.88,2024,Octubre
Residencial,2,0.00,1656.06,2399.88,2024,Octubre
Residencial,3,4051.54,2399.88,2399.88,2024,Octubre
Residencial,4,4051.54,2399.88,2399.88,2024,Octubre
Residencial,5,4861.85,2879.86,2879.86,2024,Octubre
Residencial,6,4861.85,2879.86,2879.86,2024,Octubre
No Residencial,"Rango 1 Cogenración, Autogeneración, oficiales y exentos",4051.54,2039.91,2039.91,2024,Octubre
No Residencial,"Rango 1 industrial, comercial y otros",4412.13,2221.46,2221.46,2024,Octubre
Residencial,1,0.00,1334.68,2399.88,2024,Noviembre
Residencial,2,0.00,1660.00,2399.88,2024,Noviembre
Residencial,3,4051.54,2399.88,2399.88,2024,Noviembre
Residencial,4,4051.54,2399.88,2399.88,2024,Noviembre
Residencial,5,4861.85,2879.86,2879.86,2024,Noviembre
Residencial,6,4861.85,2879.86,2879.86,2024,Noviembre
No Residencial,"Rango 1 Cogenración, Autogeneración, oficiales y exentos",4051.54,2039.91,2039.91,2024,Noviembre
No Residencial,"Rango 1 industrial, comercial y otros",4412.13,2221.46,2221.46,2024,Noviembre
Residencial,1,0.00,1332.81,2435.19,2024,Diciembre
Residencial,2,0.00,1657.89,2435.19,2024,Diciembre
Residencial,3,4045.94,2435.19,2435.19,2024,Diciembre
Residencial,4,4045.94,2435.19,2435.19,2024,Diciembre
Residencial,5,4855.13,2922.23,2922.23,2024,Diciembre
Residencial,6,4855.13,2922.23,2922.23,2024,Diciembre
No Residencial,"Rango 1 Cogenración, Autogeneración, oficiales y exentos",4045.94,2074.85,2074.85,2024,Diciembre
No Residencial,"Rango 1 industrial, comercial y otros",4406.03,2259.51,2259.51,2024,Diciembre
Residencial,1,0.00,1336.55,2449.65,2025,Enero
Residencial,2,0.00,1662.32,2449.65,2025,Enero
Residencial,3,4051.86,2449.65,2449.65,2025,Enero
Residencial,4,4051.86,2449.65,2449.65,2025,Enero
Residencial,5,4862.23,2939.58,2939.58,2025,Enero
Residencial,6,4862.23,2939.58,2939.58,2025,Enero
No Residencial,"Rango 1 Cogenración, Autogeneración, oficiales y exentos",4051.86,2092.06,2092.06,2025,Enero
No Residencial,"Rango 1 industrial, comercial y otros",4412.48,2278.25,2278.25,2025,Enero
Residencial,1,0.00,1348.72,2968.49,2025,Febrero
Residencial,2,0.00,1680.08,2968.49,2025,Febrero
Residencial,3,4065.40,2968.49,2968.49,2025,Febrero
Residencial,4,4065.40,2968.49,2968.49,2025,Febrero
Residencial,5,4878.48,3562.19,3562.19,2025,Febrero
Residencial,6,4878.48,3562.19,3562.19,2025,Febrero
No Residencial,"Rango 1 Cogenración, Autogeneración, oficiales y exentos",4065.40,2607.07,2607.07,2025,Febrero
No Residencial,"Rango 1 industrial, comercial y otros",4427.22,2839.10,2839.10,2025,Febrero
