servicio,estrato,suscriptores,cobertura,periodo
Alcantarillado,2,18615.0,96.08%,31/12/2017
Aseo,2,18563.0,95.81%,31/12/2017
Acueducto,3,17910.0,99.11%,31/12/2017
Alcantarillado,3,17945.0,99.31%,31/12/2017
Aseo,3,17619.0,97.50%,31/12/2017
Acueducto,4,5662.0,87.32%,31/12/2017
Alcantarillado,4,6476.0,99.88%,31/12/2017
Aseo,4,6403.0,98.75%,31/12/2017
Acueducto,5,1640.0,93.13%,31/12/2017
Alcantarillado,5,1760.0,99.94%,31/12/2017
Aseo,5,1695.0,96.25%,31/12/2017
Acueducto,6,7.0,87.50%,31/12/2017
Alcantarillado,6,7.0,87.50%,31/12/2017
Aseo,6,7.0,87.50%,31/12/2017
Acueducto,1,9484.0,90.32%,31/12/2017
Alcantarillado,1,9173.0,87.36%,31/12/2017
Aseo,1,9078.0,86.46%,31/12/2017
Acueducto,2,12819.0,98.15%,31/12/2017
Alcantarillado,2,12331.0,94.42%,31/12/2017
Aseo,2,12631.0,96.72%,31/12/2017
Acueducto,3,10751.0,99.44%,31/12/2017
Alcantarillado,3,10607.0,98.10%,31/12/2017
Aseo,3,10663.0,98.62%,31/12/2017
Acueducto,4,1329.0,99.40%,31/12/2017
Alcantarillado,4,1322.0,98.88%,31/12/2017
Aseo,4,1305.0,97.61%,31/12/2017
Acueducto,1,1258.0,92.43%,31/12/2017
Alcantarillado,1,1283.0,94.27%,31/12/2017
Aseo,1,1214.0,89.20%,31/12/2017
Acueducto,2,7855.0,98.50%,31/12/2017
Alcantarillado,2,7876.0,98.76%,31/12/2017
Aseo,2,7710.0,96.68%,31/12/2017
Acueducto,3,26378.0,99.07%,31/12/2017
Alcantarillado,3,26370.0,99.04%,31/12/2017
Aseo,3,26158.0,98.25%,31/12/2017
Acueducto,4,5797.0,99.84%,31/12/2017
Alcantarillado,4,5786.0,99.66%,31/12/2017
Aseo,4,5717.0,98.47%,31/12/2017
Acueducto,5,542.0,99.82%,31/12/2017
Alcantarillado,5,541.0,99.63%,31/12/2017
Aseo,5,532.0,97.97%,31/12/2017
Acueducto,6,318.0,99.69%,31/12/2017
Alcantarillado,6,317.0,99.37%,31/12/2017
Aseo,6,309.0,96.87%,31/12/2017
Acueducto,1,2.0,100.00%,31/12/2017
Alcantarillado,1,2.0,100.00%,31/12/2017
Aseo,1,2.0,100.00%,31/12/2017
Acueducto,2,1618.0,98.24%,31/12/2017
Alcantarillado,2,1632.0,99.09%,31/12/2017
Aseo,2,1608.0,97.63%,31/12/2017
Acueducto,3,10206.0,99.78%,31/12/2017
Alcantarillado,3,10122.0,98.95%,31/12/2017
Aseo,3,10061.0,98.36%,31/12/2017
Acueducto,4,18564.0,97.60%,31/12/2017
Alcantarillado,4,18539.0,97.47%,31/12/2017
Aseo,4,18015.0,94.72%,31/12/2017
Acueducto,5,1456.0,100.00%,31/12/2017
Alcantarillado,5,1456.0,100.00%,31/12/2017
Aseo,5,1448.0,99.45%,31/12/2017
Acueducto,6,1.0,100.00%,31/12/2017
Alcantarillado,6,1.0,100.00%,31/12/2017
Aseo,6,0.0,0.00%,31/12/2017
Acueducto,1,2.0,100.00%,31/12/2017
Alcantarillado,1,2.0,100.00%,31/12/2017
Aseo,1,2.0,100.00%,31/12/2017
Acueducto,2,187.0,96.89%,31/12/2017
Alcantarillado,2,192.0,99.48%,31/12/2017
Aseo,2,191.0,98.96%,31/12/2017
Acueducto,3,347.0,99.71%,31/12/2017
Alcantarillado,3,344.0,98.85%,31/12/2017
Aseo,3,343.0,98.56%,31/12/2017
Acueducto,4,13941.0,99.62%,31/12/2017
Alcantarillado,4,13893.0,99.28%,31/12/2017
Aseo,4,13400.0,95.76%,31/12/2017
Acueducto,5,28664.0,99.72%,31/12/2017
Alcantarillado,5,28639.0,99.63%,31/12/2017
Aseo,5,27192.0,94.60%,31/12/2017
Acueducto,6,199.0,94.31%,31/12/2017
Alcantarillado,6,183.0,86.73%,31/12/2017
Aseo,6,190.0,90.05%,31/12/2017
Acueducto,1,54.0,98.18%,31/12/2017
Alcantarillado,1,55.0,100.00%,31/12/2017
Aseo,1,53.0,96.36%,31/12/2017
Acueducto,2,444.0,98.23%,31/12/2017
Alcantarillado,2,444.0,98.23%,31/12/2017
Aseo,2,448.0,99.12%,31/12/2017
Acueducto,3,8402.0,99.90%,31/12/2017
Alcantarillado,3,8388.0,99.74%,31/12/2017
Aseo,3,8256.0,98.17%,31/12/2017
Acueducto,4,16162.0,99.76%,31/12/2017
Alcantarillado,4,16168.0,99.80%,31/12/2017
Aseo,4,15771.0,97.35%,31/12/2017
Acueducto,5,10095.0,99.81%,31/12/2017
Alcantarillado,5,10064.0,99.51%,31/12/2017
Aseo,5,9713.0,96.04%,31/12/2017
Acueducto,6,45.0,60.00%,31/12/2017
Alcantarillado,6,45.0,60.00%,31/12/2017
Aseo,6,44.0,58.67%,31/12/2017
Acueducto,1,10485.0,95.21%,31/12/2017
Alcantarillado,1,10380.0,94.26%,31/12/2017
Aseo,1,10374.0,94.21%,31/12/2017
Acueducto,2,13462.0,98.93%,31/12/2017
Alcantarillado,2,13339.0,98.02%,31/12/2017
Aseo,2,13341.0,98.04%,31/12/2017
Acueducto,3,11313.0,99.71%,31/12/2017
Alcantarillado,3,11229.0,98.97%,31/12/2017
Aseo,3,11111.0,97.93%,31/12/2017
Acueducto,4,3233.0,99.75%,31/12/2017
Alcantarillado,4,3233.0,99.75%,31/12/2017
Aseo,4,3200.0,98.73%,31/12/2017
Acueducto,5,1.0,100.00%,31/12/2017
Alcantarillado,5,1.0,100.00%,31/12/2017
Aseo,5,1.0,100.00%,31/12/2017
Acueducto,1,6.0,85.71%,31/12/2017
Alcantarillado,1,5.0,71.43%,31/12/2017
Aseo,1,6.0,85.71%,31/12/2017
Acueducto,2,384.0,96.48%,31/12/2017
Alcantarillado,2,390.0,97.99%,31/12/2017
Aseo,2,387.0,97.24%,31/12/2017
Acueducto,3,482.0,96.98%,31/12/2017
Alcantarillado,3,481.0,96.78%,31/12/2017
Aseo,3,480.0,96.58%,31/12/2017
Acueducto,4,1998.0,83.01%,31/12/2017
Alcantarillado,4,1985.0,82.47%,31/12/2017
Aseo,4,2176.0,90.40%,31/12/2017
Acueducto,5,9497.0,98.58%,31/12/2017
Alcantarillado,5,9432.0,97.90%,31/12/2017
Aseo,5,9223.0,95.73%,31/12/2017
Acueducto,6,37471.0,98.93%,31/12/2017
Alcantarillado,6,37572.0,99.19%,31/12/2017
Aseo,6,36006.0,95.06%,31/12/2017
Acueducto,1,74.0,98.67%,31/12/2017
Alcantarillado,1,72.0,96.00%,31/12/2017
Aseo,1,60.0,80.00%,31/12/2017
Acueducto,2,2318.0,99.19%,31/12/2017
Alcantarillado,2,2323.0,99.40%,31/12/2017
Aseo,2,2308.0,98.76%,31/12/2017
Acueducto,3,9538.0,99.70%,31/12/2017
Alcantarillado,3,9542.0,99.74%,31/12/2017
Aseo,3,9460.0,98.88%,31/12/2017
Acueducto,4,5263.0,99.45%,31/12/2017
Alcantarillado,4,5281.0,99.79%,31/12/2017
Aseo,4,5253.0,99.26%,31/12/2017
Acueducto,5,2.0,100.00%,31/12/2017
Alcantarillado,5,2.0,100.00%,31/12/2017
Aseo,5,2.0,100.00%,31/12/2017
Acueducto,1,651.0,97.75%,31/12/2017
Alcantarillado,1,640.0,96.10%,31/12/2017
Aseo,1,637.0,95.65%,31/12/2017
Acueducto,2,7507.0,98.62%,31/12/2017
Alcantarillado,2,7550.0,99.19%,31/12/2017
Aseo,2,7462.0,98.03%,31/12/2017
Acueducto,3,24179.0,99.74%,31/12/2017
Alcantarillado,3,24152.0,99.63%,31/12/2017
Aseo,3,23636.0,97.50%,31/12/2017
Acueducto,4,18577.0,98.11%,31/12/2017
Alcantarillado,4,18553.0,97.99%,31/12/2017
Aseo,4,18302.0,96.66%,31/12/2017
Acueducto,5,16234.0,99.94%,31/12/2017
Alcantarillado,5,16203.0,99.75%,31/12/2017
Aseo,5,15681.0,96.53%,31/12/2017
Acueducto,6,63.0,100.00%,31/12/2017
Alcantarillado,6,63.0,100.00%,31/12/2017
Aseo,6,58.0,92.06%,31/12/2017
Acueducto,1,99.0,87.61%,31/12/2017
Alcantarillado,1,1.0,0.88%,31/12/2017
Aseo,1,0.0,0.00%,31/12/2017
Acueducto,2,129.0,22.13%,31/12/2017
Alcantarillado,2,88.0,15.09%,31/12/2017
Aseo,2,12.0,2.06%,31/12/2017
Acueducto,3,36.0,31.58%,31/12/2017
Alcantarillado,3,41.0,35.96%,31/12/2017
Aseo,3,27.0,23.68%,31/12/2017
Acueducto,4,1.0,25.00%,31/12/2017
Alcantarillado,4,2.0,50.00%,31/12/2017
Aseo,4,0.0,0.00%,31/12/2017
Acueducto,1,4359.0,95.78%,31/12/2017
Alcantarillado,1,4210.0,92.51%,31/12/2017
Aseo,1,3873.0,85.10%,31/12/2017
Acueducto,2,12706.0,99.29%,31/12/2017
Alcantarillado,2,10761.0,84.09%,31/12/2017
Aseo,2,10135.0,79.20%,31/12/2017
Acueducto,3,7049.0,98.89%,31/12/2017
Alcantarillado,3,6827.0,95.78%,31/12/2017
Aseo,3,6487.0,91.01%,31/12/2017
Acueducto,4,1273.0,99.22%,31/12/2017
Alcantarillado,4,1255.0,97.82%,31/12/2017
Aseo,4,1227.0,95.64%,31/12/2017
Acueducto,5,11.0,91.67%,31/12/2017
Alcantarillado,5,9.0,75.00%,31/12/2017
Aseo,5,8.0,66.67%,31/12/2017
Acueducto,6,3.0,100.00%,31/12/2017
Alcantarillado,6,1.0,33.33%,31/12/2017
Aseo,6,0.0,0.00%,31/12/2017
Acueducto,1,699.0,94.33%,31/12/2017
Alcantarillado,1,237.0,31.98%,31/12/2017
Aseo,1,198.0,26.72%,31/12/2017
Acueducto,2,4708.0,97.29%,31/12/2017
Alcantarillado,2,3489.0,72.10%,31/12/2017
Aseo,2,3156.0,65.22%,31/12/2017
Acueducto,3,694.0,81.17%,31/12/2017
Alcantarillado,3,751.0,87.84%,31/12/2017
Aseo,3,720.0,84.21%,31/12/2017
Acueducto,4,898.0,96.77%,31/12/2017
Alcantarillado,4,906.0,97.63%,31/12/2017
Aseo,4,830.0,89.44%,31/12/2017
Acueducto,5,2095.0,99.95%,31/12/2017
Alcantarillado,5,2085.0,99.48%,31/12/2017
Aseo,5,1952.0,93.13%,31/12/2017
Acueducto,1,323.0,100.00%,31/12/2017
Alcantarillado,1,292.0,90.40%,31/12/2017
Aseo,1,304.0,94.12%,31/12/2017
Acueducto,2,13670.0,100.00%,31/12/2017
Alcantarillado,2,12729.0,93.12%,31/12/2017
Aseo,2,12722.0,93.07%,31/12/2017
Acueducto,3,15800.0,99.96%,31/12/2017
Alcantarillado,3,15495.0,98.03%,31/12/2017
Aseo,3,14766.0,93.41%,31/12/2017
Acueducto,4,199.0,100.00%,31/12/2017
Alcantarillado,4,170.0,85.43%,31/12/2017
Aseo,4,158.0,79.40%,31/12/2017
Acueducto,5,33.0,97.06%,31/12/2017
Alcantarillado,5,30.0,88.24%,31/12/2017
Aseo,5,30.0,88.24%,31/12/2017
Acueducto,1,1350.0,65.06%,31/12/2017
Alcantarillado,1,429.0,20.67%,31/12/2017
Aseo,1,360.0,17.35%,31/12/2017
Acueducto,2,1622.0,40.99%,31/12/2017
Alcantarillado,2,93.0,2.35%,31/12/2017
Aseo,2,146.0,3.69%,31/12/2017
Acueducto,3,428.0,34.35%,31/12/2017
Alcantarillado,3,4.0,0.32%,31/12/2017
Aseo,3,4.0,0.32%,31/12/2017
Acueducto,4,100.0,44.44%,31/12/2017
Alcantarillado,4,5.0,2.22%,31/12/2017
Aseo,4,20.0,8.89%,31/12/2017
Acueducto,5,54.0,51.43%,31/12/2017
Alcantarillado,5,54.0,51.43%,31/12/2017
Aseo,5,28.0,26.67%,31/12/2017
Acueducto,6,95.0,25.54%,31/12/2017
Alcantarillado,6,154.0,41.40%,31/12/2017
Aseo,6,86.0,23.12%,31/12/2017
